,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
228,2/11/2020,"1438 W Glenlake Ave, Chicago, IL",2,15.0,29.0,28.0,25.0,19.0,20.0,20.0,13.0,7.8,6.0,4.4,-87.6662084402206,41.99273390416166
229,8/3/2018,"1416 W Lill Ave, Chicago, IL",5,5.23,6.26,8.3,12.7,15.3,14.8,13.5,12.5,12.3,12.1,12.6,-87.664183950251,41.9281462
230,10/31/2018,"1464 W Lill Ave, Chicago, IL",3,19.0,50.2,77.5,31.8,27.0,24.5,29.1,23.6,21.1,18.8,11.7,-87.66475781632653,41.9280031632653
231,10/28/2016,"1488 W Melrose St, Chicago, IL",2,7.01,5.22,2.81,2.73,2.48,2.2,2.3,2.16,2.12,2.15,1.94,-87.66592663685525,41.94073019203931
232,2/26/2020,"1415 W Norwood St, Chicago, IL",2,6.0,7.26,7.91,8.17,8.39,8.56,8.73,8.92,9.33,9.46,18.1,-87.6656611442025,41.991673248197465
233,10/1/2018,"1444 W Olive Ave, Chicago, IL",2,11.1,26.4,34.8,32.3,23.7,20.0,17.5,14.7,10.4,8.18,4.63,-87.6662600162731,41.9845890266388
234,3/3/2020,"1419 W Rascher Ave, Chicago, IL",3,4.21,5.06,5.78,6.1,5.69,5.44,5.58,5.42,5.89,10.6,24.6,-87.665638,41.980717
235,2/17/2017,"1444 W Rosemont Ave, Chicago, IL",5,5.29,6.04,6.09,5.17,5.59,10.6,19.0,19.8,15.9,17.7,2.77,-87.66715126555096,41.9966365
236,8/10/2016,"1467 W Superior St, Chicago, IL",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.66500276781719,41.8950163
238,7/27/2018,"1475 W Winnemac Ave, Chicago, IL",2,8.15,8.04,7.23,7.65,9.93,11.5,12.4,12.4,11.9,11.2,6.42,-87.66716244415585,41.97329543128077
239,6/6/2019,"1541 E 76Th Pl, Chicago, IL",2,3.56,5.28,6.15,6.31,6.75,12.7,23.4,29.3,30.5,26.1,3.17,-87.58762098119108,41.755925060529954
240,12/17/2019,"1550 E 84Th Pl, Chicago, IL",2,3.08,3.66,3.83,2.22,3.46,5.12,6.31,5.71,6.22,10.4,17.3,-87.58715730530149,41.74153006891591
242,6/16/2021,"1591 E 86Th St, Chicago, IL",5,13.6,10.2,9.75,10.2,13.3,18.2,21.4,21.5,21.1,19.2,16.0,-87.58658330540909,41.73863763526392
243,7/1/2016,"1584 N Claremont Ave, Chicago, IL",2,1.7,4.38,6.42,5.35,5.34,4.93,4.73,4.03,5.48,1.52,1.33,-87.68608983008401,41.90958036445331
244,8/3/2021,"1575 N Kedzie Ave, Chicago, IL",1,9.42,16.2,10.8,7.88,6.75,6.11,6.55,6.38,7.64,8.26,1.52,-87.70688273581933,41.90977550619751
245,5/28/2021,"1596 N Long Ave, Chicago, IL",1,2.78,2.97,3.26,3.99,3.93,3.87,4.99,12.3,12.8,12.3,8.22,-87.76104054202924,41.90929815362844
248,8/4/2021,"1586 W 100Th Pl, Chicago, IL",2,34.1,16.2,18.5,15.6,15.9,13.9,13.6,14.2,13.5,13.8,7.0,-87.66213116984044,41.71138308877732
249,8/15/2019,"1533 W Edgewater Ave, Chicago, IL",2,5.17,5.63,0.9,7.0,7.14,7.38,7.47,7.12,6.77,6.18,7.24,-87.66950020588236,41.98585794117647
252,10/19/2021,"1626 N Burling St, Chicago, IL",2,3.5,3.3,3.88,3.81,3.8,3.35,4.07,3.99,6.21,15.9,2.7,-87.64720135177767,41.911813357661515
254,11/1/2021,"1680 N Francisco Ave, Chicago, IL",5,9.29,20.4,26.2,24.1,21.4,19.6,22.4,23.3,15.2,8.09,6.92,-87.69924695903227,41.91198777738361
255,6/4/2021,"1627 N Keeler Ave, Chicago, IL",2,4.68,4.86,4.72,4.82,4.89,4.78,5.0,4.99,6.6,15.2,4.48,-87.73098234315201,41.9107269
257,9/3/2019,"1620 N Nashville Ave, Chicago, IL",2,10.3,6.43,5.92,5.92,5.68,5.85,6.5,7.17,7.51,8.66,12.2,-87.79023055743212,41.909763
258,11/8/2021,"1620 N Normandy Ave, Chicago, IL",2,31.1,11.9,9.93,8.82,9.16,8.41,8.15,8.02,7.83,7.82,7.77,-87.79269187031326,41.90977325
259,3/24/2017,"1667 W 100Th Pl, Chicago, IL",1,14.6,27.4,26.9,27.2,29.3,29.2,33.4,33.8,36.1,40.2,30.5,-87.66412025801726,41.711108885485636
261,7/14/2021,"1685 W Albion Ave, Chicago, IL",5,5.23,5.3,5.32,5.71,6.06,10.4,17.6,19.1,19.2,18.5,18.6,-87.67101628498817,42.00163595765003
267,12/27/2018,"1627 W Summerdale Ave, Chicago, IL",2,7.9,9.98,12.5,18.9,23.0,21.1,15.1,12.6,16.2,12.9,12.2,-87.67078291050682,41.9786922
269,10/6/2020,"1712 E 84Th St, Chicago, IL",1,5.02,7.62,11.8,11.0,8.73,9.09,9.69,10.8,12.2,12.5,2.89,-87.58229160046749,41.74264075
270,10/20/2020,"1715 W 94Th St, Chicago, IL",5,6.9,7.55,9.56,15.8,25.4,23.8,22.2,24.3,21.9,30.2,8.36,-87.66546260270906,41.72279125
271,8/2/2018,"1731 N Dayton St, Chicago, IL",2,6.02,7.16,9.54,8.31,12.4,18.0,22.1,28.1,27.0,26.2,16.3,-87.64929425,41.91366415
272,10/3/2019,"1781 N Harding Ave, Chicago, IL",1,33.9,41.3,34.9,34.9,44.4,71.4,69.1,68.1,64.3,56.3,52.2,-87.72510056744653,41.912966550523876
273,3/6/2020,"1784 N Harding Ave, Chicago, IL",2,3.43,12.0,11.5,12.6,11.4,9.1,4.29,1.99,1.49,1.26,1.12,-87.72532248320431,41.91301842679258
275,6/7/2017,"1732 N Melvina Ave, Chicago, IL",2,2.14,3.48,3.64,4.3,4.65,4.6,5.12,4.6,5.65,7.35,5.68,-87.78051762646294,41.912027300000005
276,7/19/2021,"1745 N Merrimac Ave, Chicago, IL",3,6.76,7.42,7.6,7.21,6.87,6.92,6.95,7.71,7.5,8.36,18.7,-87.78109654817148,41.91223105
277,7/19/2021,"1777 N Mobile Ave, Chicago, IL",2,6.3,6.45,7.79,11.2,14.5,16.0,21.7,24.3,25.5,26.5,16.0,-87.78268360487644,41.912318929759465
279,8/17/2021,"1752 N Nashville Ave, Chicago, IL",5,17.9,1.02,1.11,1.04,0.905,0.864,0.763,0.734,0.757,0.893,1.23,-87.79028638333332,41.9124214
280,10/14/2021,"1750 N Nashville Ave, Chicago, IL",3,3.61,4.53,4.61,4.88,5.01,5.23,5.16,4.92,4.71,4.56,3.5,-87.7900900152545,41.91182156585392
285,11/4/2016,"1714 N Rutherford Ave, Chicago, IL",1,5.27,4.08,4.03,4.73,6.9,9.46,14.2,17.1,16.2,18.1,23.1,-87.79374355859746,41.911200866198335
286,1/16/2018,"1733 N Rutherford Ave, Chicago, IL",2,6.67,8.3,8.39,11.3,21.5,23.1,16.7,13.9,11.8,10.7,6.64,-87.79353225901895,41.91149329844503
287,2/26/2018,"1785 N Rutherford Ave, Chicago, IL",2,4.21,3.6,4.04,4.33,4.23,4.67,8.44,16.4,23.0,25.2,20.5,-87.79355756258771,41.91232901827798
288,7/28/2016,"1781 N Rutherford Ave, Chicago, IL",2,2.65,4.56,12.4,14.6,18.1,23.7,24.2,19.8,17.0,14.8,7.06,-87.79355557161816,41.91226473354621
289,10/6/2016,"1726 N Rutherford Ave, Chicago, IL",5,11.8,9.33,8.37,8.4,8.73,11.4,16.6,36.9,39.2,39.1,34.8,-87.79374936712681,41.911393603105154
290,2/2/2018,"1767 N Rutherford Ave, Chicago, IL",2,7.96,8.49,9.65,11.7,15.2,18.8,23.6,34.4,38.6,38.6,33.3,-87.79354877211006,41.9120397316417
291,2/25/2020,"1790 N Rutherford Ave, Chicago, IL",2,5.17,7.93,8.6,9.27,6.62,7.34,7.77,7.35,7.56,6.82,5.34,-87.7937807527461,41.91242152056954
293,12/6/2019,"1720 N Talman Ave, Chicago, IL",1,17.4,21.2,23.2,23.8,24.6,27.7,29.6,34.5,36.7,35.7,31.1,-87.69369861491936,41.9127395
294,8/25/2021,"1783 N Troy St, Chicago, IL",5,10.7,9.93,11.3,14.0,16.0,17.4,19.5,21.6,32.1,50.0,56.7,-87.70564347485714,41.91335803629431
295,6/28/2019,"1722 W 100Th Pl, Chicago, IL",1,22.6,20.8,25.6,26.1,25.1,23.4,22.0,23.1,23.9,23.8,16.1,-87.66577933694415,41.71137135
296,12/18/2019,"1771 W 105Th St, Chicago, IL",2,22.6,20.8,25.6,26.1,25.1,23.4,22.0,23.1,23.9,23.8,16.1,-87.66624284094063,41.7027975287066
297,10/14/2021,"1784 W 106Th St, Chicago, IL",4,14.7,5.17,5.61,5.89,5.8,5.26,5.26,3.92,3.74,3.57,1.56,-87.66648370117957,41.70113665517183
298,4/5/2018,"1734 W 18Th Pl, Chicago, IL",2,10.7,12.5,17.4,22.0,24.2,24.1,22.1,19.6,18.7,17.1,10.9,-87.67003279734078,41.857025300000004
299,6/16/2021,"1792 W 89Th St, Chicago, IL",5,45.6,4.63,6.25,4.07,4.15,3.8,2.9,3.0,5.85,5.9,2.65,-87.66762303729607,41.73214
302,9/6/2019,"1752 W Henderson St, Chicago, IL",2,4.2,5.51,5.68,5.24,8.11,15.7,16.3,15.9,15.4,14.4,6.84,-87.67241525805825,41.94245911546077
303,1/3/2020,"1769 W Highland Ave, Chicago, IL",2,1.7,2.14,2.5,2.52,2.14,2.06,1.94,1.68,1.68,1.64,1.48,-87.67441856321432,41.996712535214286
305,8/20/2019,"1737 W Thorndale Ave, Chicago, IL",5,7.64,7.76,7.88,7.3,7.04,13.6,21.5,21.0,21.3,21.6,18.4,-87.67331209846488,41.98843651959859
306,12/9/2019,"1784 W Wrightwood Ave, Chicago, IL",2,16.1,23.2,28.7,38.9,39.9,41.3,40.0,39.9,39.8,41.7,45.4,-87.6726488676474,41.92880159144042
307,12/30/2016,"1899 N Dayton St, Chicago, IL",2,8.28,11.5,12.3,13.2,13.3,12.8,11.3,10.3,9.2,7.8,6.72,-87.649538,41.915892
308,3/25/2017,"1885 N Dayton St, Chicago, IL",1,4.14,5.23,5.34,6.37,5.41,6.11,5.52,12.4,16.8,13.3,21.9,-87.64952832940786,41.91561243197262
309,11/10/2021,"1886 N Dayton St, Chicago, IL",2,3.5,4.38,5.89,5.52,4.84,4.18,4.26,3.68,3.44,3.25,3.42,-87.64974993437494,41.91564751640455
310,7/16/2016,"1880 N Dayton St, Chicago, IL",2,8.19,9.02,9.89,10.3,9.4,11.3,10.2,15.3,19.8,20.9,28.4,-87.64974556247883,41.915527768822365
311,1/10/2017,"1878 N Dayton St, Chicago, IL",3,16.1,29.5,31.6,18.1,10.5,9.42,9.09,7.68,10.1,11.9,7.11,-87.649744203649,41.91548784942198
312,1/10/2017,"1891 N Dayton St, Chicago, IL",5,5.93,8.04,10.6,10.2,19.5,23.8,24.9,25.8,27.3,28.0,26.3,-87.64953247394736,41.9157322468415
313,10/13/2016,"1876 N Dayton St, Chicago, IL",3,7.18,8.45,15.1,17.3,18.2,17.7,16.9,17.7,17.9,16.4,14.8,-87.6497428448192,41.91544793002159
314,1/10/2017,"1880 N Dayton St, Chicago, IL",5,6.4,5.8,5.9,6.1,5.8,6.2,7.1,7.4,8.0,8.3,20.0,-87.64974556247883,41.915527768822365
315,4/24/2017,"1890 N Dayton St, Chicago, IL",5,9.75,14.0,15.0,16.2,22.6,27.2,27.8,29.5,29.2,25.4,28.4,-87.64975295624996,41.9157273442697
316,7/24/2017,"1833 N Dayton St, Chicago, IL",5,8.51,8.49,8.67,9.08,11.5,9.95,14.6,18.5,21.8,23.0,22.9,-87.64936354846375,41.91470255
317,6/4/2018,"1875 N Dayton St, Chicago, IL",5,6.47,6.74,7.03,7.23,7.72,8.32,8.59,8.93,12.6,17.4,15.8,-87.64937847625629,41.915925599999994
318,10/13/2019,"1855 N Dayton St, Chicago, IL",3,7.86,6.74,9.33,9.73,10.3,10.8,15.5,22.7,22.0,22.6,23.7,-87.64935542310994,41.9153659
319,12/12/2019,"1862 N Hudson Ave, Chicago, IL",5,10.8,8.3,6.89,7.06,6.78,6.55,6.75,7.29,8.67,13.3,16.8,-87.64006408965334,41.915888300474
325,5/27/2021,"1825 N Luna Ave, Chicago, IL",2,4.78,8.75,9.98,8.48,5.68,3.25,1.59,1.18,1.2,1.11,1.04,-87.76404788159203,41.9138478
326,2/9/2022,"1887 N Mobile Ave, Chicago, IL",2,16.3,18.6,35.2,35.2,34.4,35.1,31.8,28.0,23.8,20.4,3.87,-87.7821334103354,41.914311947246354
328,1/24/2020,"1872 N Mohawk St, Chicago, IL",3,15.3,17.1,26.4,34.6,34.0,36.3,34.5,34.4,33.2,33.7,7.92,-87.64249829166666,41.916251208333335
329,12/13/2021,"1889 N Natchez Ave, Chicago, IL",2,9.76,10.8,21.0,37.9,38.3,37.7,36.0,38.0,38.8,37.8,26.5,-87.78831367745302,41.914276992953894
331,2/1/2022,"1816 N Wilmot Ave, Chicago, IL",1,2.6,25.0,3.7,6.6,10.0,10.0,8.8,7.6,7.2,6.3,6.0,-87.68295416635746,41.914824634015766
333,9/21/2019,"1851 S Fairfield Ave, Chicago, IL",1,9.02,9.77,10.1,9.97,9.4,13.6,20.9,22.0,24.4,24.1,20.6,-87.6940848936555,41.85591505
334,9/28/2019,"1870 S Fairfield Ave, Chicago, IL",2,4.2,4.2,4.2,4.9,7.2,14.0,16.0,13.0,8.9,6.1,5.4,-87.69445616799604,41.85611372610044
335,9/3/2019,"1893 W 34Th St, Chicago, IL",4,4.1,5.6,8.9,6.4,7.1,7.8,6.5,6.6,7.6,7.8,10.0,-87.67262528365654,41.83216513230054
336,4/30/2016,"1812 W Cuyler Ave, Chicago, IL",2,9.9,9.5,11.0,15.0,17.0,21.0,23.0,21.0,17.0,14.0,10.0,-87.67527644379942,41.95522871042344
337,7/26/2021,"1829 W Estes Ave, Chicago, IL",2,10.8,10.8,6.18,5.99,5.76,4.43,5.9,4.94,2.78,2.18,1.82,-87.67709213149868,42.01114455
338,8/27/2016,"1888 W Wellington Ave, Chicago, IL",3,11.2,10.9,16.3,36.4,30.7,28.0,20.3,20.7,20.7,19.3,17.1,-87.6755141567257,41.93604282920298
340,1/14/2017,"1935 N Dayton St, Chicago, IL",3,6.12,7.33,10.6,11.8,12.8,30.9,38.4,36.2,27.6,20.8,7.43,-87.64943590874317,41.917047999999994
341,4/22/2017,"1928 N Dayton St, Chicago, IL",1,1.01,3.63,6.78,6.8,3.68,4.52,4.52,4.64,5.33,4.06,1.41,-87.6497849113191,41.91667715558882
344,9/16/2019,"1971 N Humboldt Blvd, Chicago, IL",2,5.08,7.02,10.2,11.6,15.7,14.4,13.3,12.2,11.7,12.1,3.59,-87.70253020750906,41.91687844355893
345,11/24/2021,"1961 N Lincoln Ave, Chicago, IL",2,3.12,3.02,2.7,2.47,2.21,2.54,11.6,15.3,14.1,2.31,1.14,-87.63789383010382,41.9179727
346,12/9/2021,"1948 N Oakley Ave, Chicago, IL",3,4.06,3.85,6.88,11.9,11.1,11.3,11.6,12.2,12.3,12.0,16.9,-87.68505453208019,41.91714723492632
348,3/19/2022,"1970 S Loomis St, Chicago, IL",2,5.62,8.64,7.8,12.6,6.77,5.8,5.49,5.04,5.3,4.8,3.51,-87.66136236678383,41.855463583115494
349,12/13/2016,"1931 W 115Th St, Chicago, IL",2,20.5,8.26,7.45,7.34,8.01,7.53,6.95,6.52,6.47,5.94,4.27,-87.66943106976744,41.68458944186047
351,1/27/2020,"1974 W Addison St, Chicago, IL",2,8.9,9.46,8.85,8.47,7.9,10.8,22.0,24.2,21.6,19.8,4.23,-87.67826215384615,41.94694984615385
352,8/17/2018,"1961 W Bradley Pl, Chicago, IL",4,3.75,6.39,7.72,11.3,9.87,8.47,7.93,7.89,7.56,6.13,8.11,-87.6782176,41.949521520000005
353,8/18/2021,"1975 W Bradley Pl, Chicago, IL",2,2.1,2.7,120.0,48.0,17.0,11.0,7.6,6.5,5.8,3.6,2.0,-87.6782638,41.94952096
356,8/11/2021,"1962 W Estes Ave, Chicago, IL",2,0.67,0.55,0.67,0.7,0.78,0.78,0.85,0.75,0.65,0.65,0.61,-87.680052,42.0113946923077
357,10/7/2021,"1924 W Evergreen Ave, Chicago, IL",2,3.89,4.86,4.89,5.69,8.31,10.6,10.1,10.5,11.7,12.1,12.8,-87.67556681972106,41.90645840153513
359,2/8/2022,"1975 W Henderson St, Chicago, IL",2,21.5,29.7,32.1,33.8,36.6,39.8,27.3,26.4,24.2,21.1,5.39,-87.6777484273473,41.94222851642393
360,8/9/2018,"1924 W Nelson St, Chicago, IL",2,5.9,4.43,4.51,4.64,4.76,4.13,3.47,3.5,2.97,3.21,3.78,-87.67685489931696,41.93705145
361,3/22/2022,"111 E 117Th St, Chicago, IL",2,6.05,7.78,8.25,0.94,9.44,9.53,9.34,9.96,9.91,10.2,7.74,-87.61973634693878,41.68148591836735
362,3/19/2022,"186 N Leamington Ave, Chicago, IL",2,9.05,10.7,17.8,20.0,18.6,19.5,19.2,19.8,15.9,9.19,7.64,-87.75408773210982,41.883991221839764
363,8/27/2021,"187 N Lorel Ave, Chicago, IL",2,16.0,17.2,13.5,13.7,16.1,19.5,23.5,22.2,19.8,17.2,5.79,-87.75877487148158,41.88442081837258
364,6/2/2021,"193 S Homan Ave, Chicago, IL",2,4.1,5.96,7.43,5.09,3.28,2.51,2.18,2.04,1.91,1.78,1.69,-87.710831,41.87885202980288
365,3/7/2020,"2037 E 73Rd St, Chicago, IL",2,13.6,15.9,22.3,20.8,19.1,19.1,16.0,14.6,16.1,15.2,7.58,-87.57479032432433,41.76244964864865
366,4/30/2021,"2074 E 99Th St, Chicago, IL",3,1.7,2.7,2.5,2.5,5.2,7.7,6.2,4.7,1.8,1.3,1.0,-87.57289509090909,41.71533054545455
367,12/16/2016,"2072 N Bissell St, Chicago, IL",2,120.0,220.0,74.0,53.0,42.0,38.0,39.0,35.0,30.0,25.0,12.0,-87.65230524109869,41.91946219602241
368,5/4/2017,"2096 N Bissell St, Chicago, IL",1,8.9,7.4,6.8,7.8,7.2,6.8,6.4,6.4,6.2,5.9,5.8,-87.65231609402271,41.919789707434234
370,3/25/2022,"2026 N Kenmore Ave, Chicago, IL",4,9.92,12.3,15.7,17.7,18.1,18.3,17.7,16.5,15.5,13.8,9.29,-87.65511148191132,41.91882535
372,11/16/2021,"2037 N Sheffield Ave, Chicago, IL",1,15.3,18.5,21.0,21.0,21.6,20.7,17.6,18.9,16.8,14.9,10.7,-87.65312599999999,41.91921925
374,12/3/2021,"2077 W 21St St, Chicago, IL",4,1.42,1.03,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.67770129825605,41.853903152882054
375,4/8/2017,"2049 W 21St St, Chicago, IL",4,6.92,8.25,8.17,8.51,10.0,26.5,30.8,28.8,32.6,24.0,10.9,-87.67780011603148,41.85375045
377,9/29/2017,"2074 W Berwyn Ave, Chicago, IL",2,3.8,4.7,6.8,9.6,17.0,19.0,22.0,23.0,17.0,11.0,7.0,-87.68129529059728,41.97790555466757
379,2/8/2020,"2037 W Bradley Pl, Chicago, IL",5,5.7,6.3,6.3,6.3,8.6,22.0,18.0,16.0,17.0,18.0,17.0,-87.68018484631777,41.94938145
380,7/13/2021,"2019 W Chase Ave, Chicago, IL",4,5.36,6.69,6.59,6.57,7.36,17.1,17.0,15.9,14.0,13.6,3.18,-87.68134072421876,42.01384055
383,2/28/2017,"2085 W Evergreen Ave, Chicago, IL",2,8.54,21.4,22.6,19.8,17.6,16.2,14.8,16.5,19.4,19.1,10.3,-87.6795142988247,41.90589307701792
384,2/28/2017,"2080 W Lunt Ave, Chicago, IL",2,3.01,3.17,3.79,4.38,3.91,3.89,4.22,5.09,7.22,11.2,2.19,-87.68332102096588,42.0091787
386,2/2/2022,"2028 W Ohio St, Chicago, IL",2,4.94,5.52,7.81,7.15,6.5,7.07,5.87,5.31,5.13,4.84,3.74,-87.6781852852324,41.89246325
388,10/22/2021,"2088 W Thomas St, Chicago, IL",2,11.0,13.4,14.0,15.2,15.8,16.0,15.4,17.0,20.5,18.7,2.91,-87.6788340232136,41.90142232336736
389,10/17/2018,"2017 W Willow St, Chicago, IL",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.67819657394045,41.91374098419356
390,2/27/2020,"2198 E 96Th St, Chicago, IL",1,22.9,33.1,31.8,26.6,27.6,25.5,23.8,20.1,14.2,10.1,8.98,-87.571173,41.720755
391,3/25/2017,"2110 N Hudson Ave, Chicago, IL",2,4.5,5.0,4.5,4.1,4.0,4.5,5.3,5.7,5.8,6.0,5.9,-87.64024775,41.9204713
394,3/29/2022,"2186 S Drake Ave, Chicago, IL",2,2.5,4.8,7.8,6.05,6.67,5.2,3.1,2.16,2.09,1.72,1.89,-87.71375186751429,41.85234689141719
395,12/3/2016,"2170 W 110Th Pl, Chicago, IL",1,3.3,4.24,4.35,5.91,14.0,16.0,16.4,16.8,14.6,10.7,5.82,-87.67627827774646,41.693109484944294
396,1/7/2017,"2142 W 110Th Pl, Chicago, IL",2,7.95,6.55,16.5,5.51,5.24,5.04,5.06,4.96,4.96,5.02,4.8,-87.6760984,41.69326685
397,3/24/2017,"2148 W 110Th St, Chicago, IL",1,4.96,8.34,8.78,9.96,9.72,11.2,10.9,10.4,9.8,9.22,3.78,-87.67609559581447,41.69432515
398,7/2/2019,"2135 W 115Th St, Chicago, IL",3,4.55,3.66,9.46,9.78,9.97,10.7,11.7,13.0,12.1,12.7,11.1,-87.67516548293735,41.68396909744374
399,7/30/2021,"2180 W 118Th St, Chicago, IL",4,12.6,13.1,16.4,20.0,20.2,16.0,14.8,14.8,13.9,12.0,9.92,-87.67608209940809,41.67946595
400,2/1/2022,"2166 W 19Th St, Chicago, IL",2,5.31,5.22,13.9,29.0,30.7,28.3,25.6,25.0,24.8,23.6,13.3,-87.67999079430302,41.85587199600675
401,5/17/2021,"2195 W 66Th St, Chicago, IL",2,2.28,2.58,4.33,4.13,3.89,3.59,3.65,3.98,4.41,4.57,2.44,-87.67724223781988,41.773765169903456
402,2/3/2020,"2112 W 75Th Pl, Chicago, IL",1,4.18,5.5,9.07,11.5,11.1,10.7,10.3,10.3,9.06,7.22,3.66,-87.67619353031932,41.7571277
403,4/6/2019,"2124 W 82Nd Pl, Chicago, IL",2,8.6,3.05,3.35,4.54,4.68,8.08,13.9,15.8,16.0,16.9,13.0,-87.67704535288497,41.74429945
405,1/25/2022,"2171 W Erie St, Chicago, IL",2,5.3,8.0,6.9,3.8,7.0,6.9,2.7,2.2,2.0,1.9,1.7,-87.68109971203248,41.893029572245034
408,1/27/2017,"2149 W Pensacola Ave, Chicago, IL",4,2.91,4.8,5.84,6.43,6.98,7.49,7.29,6.18,4.94,3.63,0.5,-87.68190532843911,41.96041424420262
410,7/14/2017,"2268 N Campbell Ave, Chicago, IL",3,11.0,12.0,12.0,12.0,17.0,24.0,26.0,25.0,23.0,21.0,11.0,-87.68944555697648,41.92289952789831
412,9/6/2019,"2252 N Kildare Ave, Chicago, IL",5,14.9,12.9,12.5,15.2,15.4,16.5,20.8,23.7,23.6,21.8,28.4,-87.73430670620283,41.92227645
413,2/28/2022,"2216 N Lakewood Ave, Chicago, IL",2,3.2,3.06,3.69,4.56,5.22,12.7,16.7,19.6,18.9,14.9,11.2,-87.66089851429125,41.92227929573474
414,10/28/2016,"2263 N Lakewood Ave, Chicago, IL",1,3.16,2.51,3.64,16.3,12.6,12.9,13.4,13.4,12.9,7.82,3.32,-87.66069932988623,41.92291494137538
415,5/10/2018,"2261 N Lakewood Ave, Chicago, IL",1,9.31,8.68,9.21,9.71,11.6,13.7,22.1,37.7,36.6,38.0,9.58,-87.66069857730925,41.92289210455682
416,11/17/2018,"2224 N Lawndale Ave, Chicago, IL",3,2.74,3.52,4.45,5.14,5.2,5.1,5.29,6.18,7.36,7.5,26.1,-87.71968673581617,41.921701
417,4/4/2022,"2218 N Magnolia Ave, Chicago, IL",2,3.91,4.82,5.66,6.31,7.19,7.7,8.14,8.62,8.32,9.0,5.95,-87.65989019792231,41.92227185
419,3/28/2022,"2259 N Rockwell Ave, Chicago, IL",3,7.45,9.04,9.91,27.7,36.3,36.5,35.0,26.9,20.7,18.3,15.1,-87.694916,42.0176244
420,11/15/2021,"2287 W 110Th Pl, Chicago, IL",2,5.91,7.17,10.4,22.3,29.0,28.8,26.6,19.4,13.5,11.7,11.7,-87.67898459917879,41.692894422291076
421,5/19/2021,"2261 W 69Th St, Chicago, IL",2,4.49,5.34,5.37,5.84,5.68,5.1,6.24,6.99,7.4,7.37,9.04,-87.68029766771149,41.768284410739206
422,1/28/2017,"2285 W Berwyn Ave, Chicago, IL",2,13.4,18.0,17.5,13.8,12.3,10.5,8.55,5.63,4.23,3.48,3.13,-87.68644696902462,41.97766756330701
423,8/24/2021,"2227 W Birchwood Ave, Chicago, IL",5,3.28,4.09,3.26,3.32,4.68,6.24,4.14,4.67,5.74,7.2,6.43,-87.68760493877551,42.01749165306123
424,10/20/2016,"2262 W Estes Ave, Chicago, IL",4,3.58,5.18,5.85,5.48,5.0,5.06,8.3,13.4,14.4,14.3,10.1,-87.68733685915569,42.01113425160099
429,10/28/2016,"2255 W Shakespeare Ave, Chicago, IL",4,6.94,8.34,8.42,8.66,12.9,25.1,21.0,21.8,27.3,17.1,7.43,-87.6847918,41.92057764
431,3/9/2022,"2277 W Winnemac Ave, Chicago, IL",3,7.58,8.21,9.07,11.3,16.1,25.6,30.6,31.0,27.3,29.1,5.03,-87.68611086709814,41.972996795508614
432,11/30/2021,"2379 N Lakewood Ave, Chicago, IL",4,11.7,12.7,15.1,26.9,42.3,44.7,42.0,36.8,35.1,33.1,28.0,-87.6607502200713,41.92446104808887
433,2/18/2020,"2318 N Monticello Ave, Chicago, IL",3,45.6,26.5,5.46,5.35,4.54,3.85,3.68,3.38,3.3,3.08,2.91,-87.71845609941444,41.9233891
434,7/19/2021,"2390 N Normandy Ave, Chicago, IL",1,15.5,18.1,10.8,10.7,6.38,11.6,5.92,5.72,5.5,5.47,5.12,-87.7924976343887,41.922967300438
435,2/19/2020,"2391 N Rutherford Ave, Chicago, IL",3,6.72,17.0,19.1,17.0,12.0,11.6,10.9,10.4,9.7,7.55,4.99,-87.79368171859558,41.92296099505851
436,3/19/2019,"2350 S Marshall Blvd, Chicago, IL",2,3.7,4.9,5.2,5.3,5.4,5.5,11.0,14.0,13.0,12.0,2.2,-87.69912015140932,41.84912951078293
437,2/24/2022,"2354 W 107Th St, Chicago, IL",2,9.5,8.8,11.0,11.0,10.0,20.0,23.0,16.0,15.0,18.0,2.6,-87.68067167416056,41.69914571819176
438,7/13/2021,"2338 W 110Th St, Chicago, IL",2,9.3,10.5,9.51,8.06,7.05,7.54,13.1,19.6,20.3,19.0,3.19,-87.67965895141508,41.69407689908183
440,8/3/2021,"2313 W 116Th Pl, Chicago, IL",4,7.5,8.9,7.86,7.9,7.61,7.37,14.6,22.0,20.7,17.3,16.3,-87.67938673941897,41.681799750961915
441,11/26/2019,"2350 W 35Th Pl, Chicago, IL",2,0.5,0.5,1.66,1.77,1.14,0.5,0.5,0.5,0.5,0.5,0.5,-87.68314964928229,41.82938861187714
442,10/14/2021,"2369 W 80Th St, Chicago, IL",3,4.4,5.5,8.4,7.9,7.4,7.4,7.1,7.0,7.4,7.1,4.0,-87.68154585626016,41.74822713364698
