,Date.Sampled,Address,HCluster,longitude,latitude
81,1/21/2020,"11011 S Eberhart Ave, Chicago, IL",2,-87.61077961353492,41.6942489
82,11/1/2021,"11033 S Homewood Ave, Chicago, IL",3,-87.668871,41.69306
84,2/2/2022,"11057 S Sangamon St, Chicago, IL",1,-87.64511941883879,41.693318041997685
85,9/3/2021,"11149 S Avenue B, Chicago, IL",2,-87.52570943676378,41.692957670490756
86,8/24/2021,"11189 S Avenue E, Chicago, IL",1,-87.52935808698307,41.69252404022008
87,4/13/2019,"11123 S Avenue H, Chicago, IL",5,-87.532759,41.69274776804497
88,11/5/2016,"11199 S Drake Ave, Chicago, IL",1,-87.70916743082509,41.68924812833358
89,12/2/2016,"11190 S Hoyne Ave, Chicago, IL",1,-87.67379810705673,41.690299020676115
90,3/4/2022,"11186 S Loomis St, Chicago, IL",5,-87.65703001552825,41.6905604906924
93,12/5/2019,"11297 S Avenue H, Chicago, IL",1,-87.53275790607167,41.69016444887319
94,6/29/2021,"11275 S Emerald Ave, Chicago, IL",3,-87.64095964803563,41.68924375310957
96,6/21/2021,"11234 S Forrestville Ave, Chicago, IL",2,-87.60967466925895,41.690025755190234
97,6/4/2021,"11243 S Normal Ave, Chicago, IL",5,-87.63477837488372,41.6893526
98,6/4/2021,"11239 S Parnell Ave, Chicago, IL",4,-87.63614617868065,41.68988085034047
100,7/20/2018,"11246 S Spaulding Ave, Chicago, IL",5,-87.70326205698295,41.688514086198424
101,6/17/2021,"11245 S St Lawrence Ave, Chicago, IL",2,-87.60805201614806,41.689698500000006
103,7/18/2019,"11371 S Avenue L, Chicago, IL",1,-87.53637838453614,41.688787572192794
104,1/11/2020,"11346 S Cottage Grove Ave, Chicago, IL",2,-87.61106917505077,41.68790659282099
105,8/9/2021,"11333 S Hale Ave, Chicago, IL",3,-87.67138983906094,41.68735328097444
106,7/27/2021,"11381 S Homewood Ave, Chicago, IL",2,-87.67025823623425,41.686653042802625
107,6/10/2021,"11385 S Loomis St, Chicago, IL",2,-87.65668940062207,41.686609422394305
108,9/1/2021,"11360 S Lothair Ave, Chicago, IL",1,-87.67521892299987,41.68648035
109,6/23/2021,"11365 S St Lawrence Ave, Chicago, IL",2,-87.60820303811019,41.68782050865956
110,3/18/2020,"11352 S St Lawrence Ave, Chicago, IL",2,-87.60859364266055,41.6877137
111,6/25/2021,"11366 S St Lawrence Ave, Chicago, IL",2,-87.60842059724203,41.68770074816903
114,2/18/2020,"11397 S Trumbull Ave, Chicago, IL",2,-87.70665315644477,41.687307816522384
115,6/7/2021,"11425 S Ada St, Chicago, IL",2,-87.6553012509766,41.685943249999994
116,2/10/2020,"11444 S Calumet Ave, Chicago, IL",2,-87.61451868746762,41.68662648050391
117,1/27/2020,"11480 S Forrestville Ave, Chicago, IL",2,-87.60936506661493,41.685643563898815
118,6/8/2021,"11495 S Indiana Ave, Chicago, IL",1,-87.6181687887978,41.68550480652992
122,9/28/2020,"11544 S Sangamon St, Chicago, IL",2,-87.64636685324862,41.68352338911662
123,9/19/2019,"11518 S Artesian Ave, Chicago, IL",2,-87.68245232727655,41.683870850000005
124,8/27/2019,"11597 S Avenue H, Chicago, IL",3,-87.5327394243563,41.68472503889979
125,6/9/2021,"11530 S Elizabeth St, Chicago, IL",2,-87.65338150636715,41.68400295
126,8/30/2019,"11563 S Ewing Ave, Chicago, IL",3,-87.535152858911,41.68527894143989
127,10/15/2021,"11597 S Justine St, Chicago, IL",2,-87.66023056997012,41.68316679880529
128,9/29/2021,"11527 S May St, Chicago, IL",1,-87.6503590266369,41.684128400000006
130,5/24/2021,"11683 S Avenue L, Chicago, IL",3,-87.53634617138358,41.683121335419095
131,9/4/2019,"11611 S Longwood Dr, Chicago, IL",2,-87.67411400126998,41.682514316489495
132,10/4/2019,"11694 S May St, Chicago, IL",1,-87.65065987944328,41.68151816956339
133,10/16/2019,"11634 S May St, Chicago, IL",2,-87.65085126002025,41.68210945
134,10/29/2016,"11789 S Justine St, Chicago, IL",1,-87.66012466538146,41.67966462241873
135,1/21/2017,"11748 S Justine St, Chicago, IL",2,-87.66053715,41.67975155
136,8/16/2021,"11787 S Longwood Dr, Chicago, IL",2,-87.67479436611279,41.679517476453626
137,11/30/2021,"11758 S Peoria St, Chicago, IL",5,-87.64454425406048,41.6803590398345
138,12/12/2019,"11870 S Campbell Ave, Chicago, IL",1,-87.68329059385266,41.67819057535349
139,11/24/2021,"11854 S Maplewood Ave, Chicago, IL",1,-87.68453512206659,41.678811286410884
140,2/25/2017,"1174 E 48Th St, Chicago, IL",2,-87.59718521766393,41.80790228077677
141,7/29/2017,"1114 E 48Th St, Chicago, IL",2,-87.59864166190593,41.80788720951883
142,6/7/2021,"1116 E 54Th St, Chicago, IL",2,-87.59909,41.79804
143,8/23/2019,"1175 N Massasoit Ave, Chicago, IL",1,-87.76916686289736,41.90158302940585
144,6/16/2021,"1181 N Sacramento Ave, Chicago, IL",2,-87.70170298324808,41.90267329641943
145,3/3/2020,"1152 W 111Th St, Chicago, IL",2,-87.65167405,41.69246525
146,1/10/2020,"1189 W 50Th St, Chicago, IL",2,-87.6548547633354,41.803193076634116
148,3/16/2016,"1154 W George St, Chicago, IL",2,-87.65733094337381,41.93448072469546
149,3/26/2016,"1139 W Lunt Ave, Chicago, IL",2,-87.66113971163065,42.0089027
150,7/12/2021,"1112 W Morse Ave, Chicago, IL",2,-87.65974158071074,42.00809318798169
151,12/11/2018,"1173 W Webster Ave, Chicago, IL",2,-87.65783191073302,41.921586282467224
153,12/1/2021,"1149 W Wrightwood Ave, Chicago, IL",3,-87.6581193501747,41.928712250000004
154,6/17/2021,"12077 S Princeton Ave, Chicago, IL",2,-87.6296654296697,41.67479455552397
155,3/31/2022,"12129 S Justine St, Chicago, IL",2,-87.65992413742056,41.67333645383604
156,8/30/2021,"12114 S Racine Ave, Chicago, IL",1,-87.65180498920162,41.67347595
159,9/24/2019,"12190 S Wallace St, Chicago, IL",2,-87.63703580535407,41.67264558763012
161,11/7/2016,"12261 S Carpenter St, Chicago, IL",2,-87.64766851171937,41.67118372933986
162,1/30/2018,"12230 S Carpenter St, Chicago, IL",2,-87.64808748485676,41.6713723
163,3/13/2020,"12228 S Elizabeth St, Chicago, IL",2,-87.65277813659593,41.67162042877658
164,8/26/2021,"12256 S Morgan St, Chicago, IL",2,-87.64683340955983,41.67064285
165,2/13/2020,"12510 S Edbrooke Ave, Chicago, IL",1,-87.61917029053866,41.665999049999996
166,5/26/2021,"12664 S Edbrooke Ave, Chicago, IL",3,-87.61882258578558,41.66425589982487
169,8/11/2021,"12686 S Yale Ave, Chicago, IL",4,-87.62829691552092,41.66369147112733
170,7/15/2021,"12740 S Manistee Ave, Chicago, IL",3,-87.555737,41.66382824489796
171,2/22/2022,"12712 S Saginaw Ave, Chicago, IL",1,-87.55833110996113,41.664198799999994
172,6/4/2021,"12781 S Sangamon St, Chicago, IL",2,-87.64492743609037,41.661983922935875
173,9/19/2019,"12714 S Wallace St, Chicago, IL",1,-87.63671020169949,41.66244146191178
174,6/29/2021,"12858 S Morgan St, Chicago, IL",5,-87.6462815927562,41.65985645199424
175,2/14/2017,"12860 S Wallace St, Chicago, IL",2,-87.63662593140116,41.6601146201344
176,6/17/2021,"12919 S EXchange Ave, Chicago, IL",1,-87.5516908,41.66038275
177,6/17/2021,"12999 S Normal Ave, Chicago, IL",3,-87.633943,41.658777
178,7/2/2021,"1264 E 50Th St, Chicago, IL",1,-87.5954577487704,41.804273950957146
179,8/19/2019,"1254 E 71St St, Chicago, IL",2,-87.5941416935484,41.76592027419355
180,7/15/2021,"1246 E 97Th Pl, Chicago, IL",5,-87.5927842545,41.717871450000004
181,10/5/2021,"1286 N Marion Ct, Chicago, IL",1,-87.673977267879,41.905136155562936
182,2/7/2020,"1215 W Draper St, Chicago, IL",5,-87.6591906952207,41.9280461
183,9/24/2019,"1277 W Early Ave, Chicago, IL",2,-87.66282574453739,41.98638327575643
184,12/12/2017,"1218 W Norwood St, Chicago, IL",2,-87.66125845611488,41.99201385
185,9/18/2018,"1243 W Norwood St, Chicago, IL",2,-87.6620763,41.9916052
186,9/1/2016,"1254 W Victoria St, Chicago, IL",2,-87.66191502358832,41.98720853184171
188,9/29/2018,"13165 S Avenue N, Chicago, IL",3,-87.5385685594032,41.65618216191028
189,1/3/2020,"13192 S Burley Ave, Chicago, IL",1,-87.54482859770646,41.65572255044759
190,9/11/2019,"13112 S Muskegon Ave, Chicago, IL",4,-87.55471351671429,41.656898
191,8/20/2021,"13284 S Avenue M, Chicago, IL",2,-87.53757105849196,41.653983400296624
192,8/2/2019,"13229 S Avenue N, Chicago, IL",1,-87.53856774610654,41.65480499751433
193,10/28/2021,"1381 E 52Nd St, Chicago, IL",2,-87.5923979990155,41.80088709691838
194,7/17/2019,"1393 E 55Th Pl, Chicago, IL",2,-87.5919074168864,41.79540585785809
195,3/30/2017,"1392 E 87Th St, Chicago, IL",3,-87.59040045454545,41.73693272727273
196,8/31/2021,"1369 E 88Th Pl, Chicago, IL",1,-87.59262701918937,41.73400235712615
197,8/5/2021,"1389 N Maplewood Ave, Chicago, IL",1,-87.69069398726549,41.90634749061956
198,7/7/2016,"1374 N Monitor Ave, Chicago, IL",1,-87.77193720618529,41.90516525342811
199,10/16/2019,"1364 W 108Th St, Chicago, IL",4,-87.65494949019342,41.69775378853495
200,2/28/2022,"1332 W 109Th St, Chicago, IL",3,-87.65549597157403,41.6959209780326
201,5/23/2021,"1348 W 61St St, Chicago, IL",2,-87.65892800113065,41.78341175
204,12/8/2021,"1382 W Carmen Ave, Chicago, IL",2,-87.66423352501232,41.974631922629115
207,8/23/2016,"1354 W Winona St, Chicago, IL",2,-87.6637183248744,41.97545055799053
208,12/7/2018,"1388 W Winona St, Chicago, IL",2,-87.66437257367534,41.97544084373879
209,2/22/2022,"1434 E 54Th St, Chicago, IL",1,-87.590242,41.798147
210,2/8/2017,"1499 E 54Th St, Chicago, IL",2,-87.589221,41.797996
211,9/15/2021,"1441 E 66Th Pl, Chicago, IL",3,-87.59029902154884,41.77413049522605
212,12/20/2019,"1482 E 90Th Pl, Chicago, IL",2,-87.59011040799766,41.73055551642933
213,9/28/2021,"1434 N Kolin Ave, Chicago, IL",2,-87.73532473881286,41.90719875
214,5/27/2021,"1435 N Lockwood Ave, Chicago, IL",5,-87.75808792141373,41.90695695
215,9/16/2019,"1421 N Lorel Ave, Chicago, IL",3,-87.75930777540282,41.90652535
217,10/8/2021,"1431 N Wood St, Chicago, IL",2,-87.67239866666667,41.9080915
218,12/13/2021,"1497 N Wood St, Chicago, IL",2,-87.67241985714286,41.90894933333333
219,2/17/2022,"1470 W 103Rd St, Chicago, IL",2,-87.65997493883204,41.706808306121495
220,8/27/2021,"1458 W 107Th St, Chicago, IL",4,-87.65957449999999,41.69965259999999
221,2/6/2020,"1453 W 123Rd St, Chicago, IL",2,-87.65839548148148,41.67021603703704
222,2/7/2022,"1493 W Carmen Ave, Chicago, IL",5,-87.66727102051802,41.97430108996352
223,1/31/2022,"1426 W Edgewater Ave, Chicago, IL",2,-87.6661252299338,41.9865134
224,11/15/2021,"1429 W Farragut Ave, Chicago, IL",1,-87.66597899379656,41.9769616
226,7/25/2018,"1415 W Flournoy St, Chicago, IL",2,-87.66244925146268,41.873100699999995
227,5/24/2018,"1471 W George St, Chicago, IL",2,-87.66539400241425,41.93418749211078
228,2/11/2020,"1438 W Glenlake Ave, Chicago, IL",2,-87.6662084402206,41.99273390416166
229,8/3/2018,"1416 W Lill Ave, Chicago, IL",5,-87.664183950251,41.9281462
230,10/31/2018,"1464 W Lill Ave, Chicago, IL",3,-87.66475781632653,41.9280031632653
231,10/28/2016,"1488 W Melrose St, Chicago, IL",2,-87.66592663685525,41.94073019203931
232,2/26/2020,"1415 W Norwood St, Chicago, IL",2,-87.6656611442025,41.991673248197465
233,10/1/2018,"1444 W Olive Ave, Chicago, IL",2,-87.6662600162731,41.9845890266388
234,3/3/2020,"1419 W Rascher Ave, Chicago, IL",3,-87.665638,41.980717
235,2/17/2017,"1444 W Rosemont Ave, Chicago, IL",5,-87.66715126555096,41.9966365
236,8/10/2016,"1467 W Superior St, Chicago, IL",2,-87.66500276781719,41.8950163
238,7/27/2018,"1475 W Winnemac Ave, Chicago, IL",2,-87.66716244415585,41.97329543128077
239,6/6/2019,"1541 E 76Th Pl, Chicago, IL",2,-87.58762098119108,41.755925060529954
240,12/17/2019,"1550 E 84Th Pl, Chicago, IL",2,-87.58715730530149,41.74153006891591
241,11/16/2020,"1559 E 86Th St, Chicago, IL",5,-87.58698852704545,41.73863217631959
242,6/16/2021,"1591 E 86Th St, Chicago, IL",5,-87.58658330540909,41.73863763526392
243,7/1/2016,"1584 N Claremont Ave, Chicago, IL",2,-87.68608983008401,41.90958036445331
244,8/3/2021,"1575 N Kedzie Ave, Chicago, IL",1,-87.70688273581933,41.90977550619751
245,5/28/2021,"1596 N Long Ave, Chicago, IL",1,-87.76104054202924,41.90929815362844
248,8/4/2021,"1586 W 100Th Pl, Chicago, IL",2,-87.66213116984044,41.71138308877732
249,8/15/2019,"1533 W Edgewater Ave, Chicago, IL",2,-87.66950020588236,41.98585794117647
250,2/26/2020,"1554 W Roscoe St, Chicago, IL",5,-87.66780630518213,41.94343981106229
251,10/27/2020,"1534 W Wolfram St, Chicago, IL",1,-87.6673249947944,41.93341091803842
252,10/19/2021,"1626 N Burling St, Chicago, IL",2,-87.64720135177767,41.911813357661515
253,10/13/2016,"1648 N Cleveland Ave, Chicago, IL",2,-87.6413681332542,41.9124597
254,11/1/2021,"1680 N Francisco Ave, Chicago, IL",5,-87.69924695903227,41.91198777738361
255,6/4/2021,"1627 N Keeler Ave, Chicago, IL",2,-87.73098234315201,41.9107269
257,9/3/2019,"1620 N Nashville Ave, Chicago, IL",2,-87.79023055743212,41.909763
258,11/8/2021,"1620 N Normandy Ave, Chicago, IL",2,-87.79269187031326,41.90977325
259,3/24/2017,"1667 W 100Th Pl, Chicago, IL",1,-87.66412025801726,41.711108885485636
260,10/21/2019,"1675 W 102Nd St, Chicago, IL",2,-87.66523509151197,41.70815241631891
261,7/14/2021,"1685 W Albion Ave, Chicago, IL",5,-87.67101628498817,42.00163595765003
267,12/27/2018,"1627 W Summerdale Ave, Chicago, IL",2,-87.67078291050682,41.9786922
268,1/27/2020,"1626 W Touhy Ave, Chicago, IL",2,-87.67085336240511,42.012783953345334
269,10/6/2020,"1712 E 84Th St, Chicago, IL",1,-87.58229160046749,41.74264075
270,10/20/2020,"1715 W 94Th St, Chicago, IL",5,-87.66546260270906,41.72279125
271,8/2/2018,"1731 N Dayton St, Chicago, IL",2,-87.64929425,41.91366415
272,10/3/2019,"1781 N Harding Ave, Chicago, IL",1,-87.72510056744653,41.912966550523876
273,3/6/2020,"1784 N Harding Ave, Chicago, IL",2,-87.72532248320431,41.91301842679258
275,6/7/2017,"1732 N Melvina Ave, Chicago, IL",2,-87.78051762646294,41.912027300000005
276,7/19/2021,"1745 N Merrimac Ave, Chicago, IL",3,-87.78109654817148,41.91223105
277,7/19/2021,"1777 N Mobile Ave, Chicago, IL",2,-87.78268360487644,41.912318929759465
279,8/17/2021,"1752 N Nashville Ave, Chicago, IL",5,-87.79028638333332,41.9124214
280,10/14/2021,"1750 N Nashville Ave, Chicago, IL",3,-87.7900900152545,41.91182156585392
281,1/13/2020,"1721 N Newland Ave, Chicago, IL",1,-87.79841044264973,41.911242051559114
283,3/29/2019,"1797 N North Park, Chicago, IL",2,-87.7208917,41.9805872
284,7/8/2016,"1790 N Rutherford Ave, Chicago, IL",3,-87.7937807527461,41.91242152056954
285,11/4/2016,"1714 N Rutherford Ave, Chicago, IL",1,-87.79374355859746,41.911200866198335
286,1/16/2018,"1733 N Rutherford Ave, Chicago, IL",2,-87.79353225901895,41.91149329844503
287,2/26/2018,"1785 N Rutherford Ave, Chicago, IL",2,-87.79355756258771,41.91232901827798
288,7/28/2016,"1781 N Rutherford Ave, Chicago, IL",2,-87.79355557161816,41.91226473354621
289,10/6/2016,"1726 N Rutherford Ave, Chicago, IL",5,-87.79374936712681,41.911393603105154
290,2/2/2018,"1767 N Rutherford Ave, Chicago, IL",2,-87.79354877211006,41.9120397316417
291,2/25/2020,"1790 N Rutherford Ave, Chicago, IL",2,-87.7937807527461,41.91242152056954
293,12/6/2019,"1720 N Talman Ave, Chicago, IL",1,-87.69369861491936,41.9127395
294,8/25/2021,"1783 N Troy St, Chicago, IL",5,-87.70564347485714,41.91335803629431
295,6/28/2019,"1722 W 100Th Pl, Chicago, IL",1,-87.66577933694415,41.71137135
296,12/18/2019,"1771 W 105Th St, Chicago, IL",2,-87.66624284094063,41.7027975287066
297,10/14/2021,"1784 W 106Th St, Chicago, IL",4,-87.66648370117957,41.70113665517183
298,4/5/2018,"1734 W 18Th Pl, Chicago, IL",2,-87.67003279734078,41.857025300000004
299,6/16/2021,"1792 W 89Th St, Chicago, IL",5,-87.66762303729607,41.73214
302,9/6/2019,"1752 W Henderson St, Chicago, IL",2,-87.67241525805825,41.94245911546077
303,1/3/2020,"1769 W Highland Ave, Chicago, IL",2,-87.67441856321432,41.996712535214286
304,9/22/2018,"1742 W School St, Chicago, IL",2,-87.67283846522233,41.941653099999996
305,8/20/2019,"1737 W Thorndale Ave, Chicago, IL",5,-87.67331209846488,41.98843651959859
306,12/9/2019,"1784 W Wrightwood Ave, Chicago, IL",2,-87.6726488676474,41.92880159144042
307,12/30/2016,"1899 N Dayton St, Chicago, IL",2,-87.649538,41.915892
308,3/25/2017,"1885 N Dayton St, Chicago, IL",1,-87.64952832940786,41.91561243197262
309,11/10/2021,"1886 N Dayton St, Chicago, IL",2,-87.64974993437494,41.91564751640455
310,7/16/2016,"1880 N Dayton St, Chicago, IL",2,-87.64974556247883,41.915527768822365
311,1/10/2017,"1878 N Dayton St, Chicago, IL",3,-87.649744203649,41.91548784942198
312,1/10/2017,"1891 N Dayton St, Chicago, IL",5,-87.64953247394736,41.9157322468415
313,10/13/2016,"1876 N Dayton St, Chicago, IL",3,-87.6497428448192,41.91544793002159
314,1/10/2017,"1880 N Dayton St, Chicago, IL",5,-87.64974556247883,41.915527768822365
315,4/24/2017,"1890 N Dayton St, Chicago, IL",5,-87.64975295624996,41.9157273442697
316,7/24/2017,"1833 N Dayton St, Chicago, IL",5,-87.64936354846375,41.91470255
317,6/4/2018,"1875 N Dayton St, Chicago, IL",5,-87.64937847625629,41.915925599999994
318,10/13/2019,"1855 N Dayton St, Chicago, IL",3,-87.64935542310994,41.9153659
319,12/12/2019,"1862 N Hudson Ave, Chicago, IL",5,-87.64006408965334,41.915888300474
325,5/27/2021,"1825 N Luna Ave, Chicago, IL",2,-87.76404788159203,41.9138478
326,2/9/2022,"1887 N Mobile Ave, Chicago, IL",2,-87.7821334103354,41.914311947246354
328,1/24/2020,"1872 N Mohawk St, Chicago, IL",3,-87.64249829166666,41.916251208333335
329,12/13/2021,"1889 N Natchez Ave, Chicago, IL",2,-87.78831367745302,41.914276992953894
330,9/28/2021,"1841 N New England Ave, Chicago, IL",2,-87.79704457958334,41.913886000000005
331,2/1/2022,"1816 N Wilmot Ave, Chicago, IL",1,-87.68295416635746,41.914824634015766
333,9/21/2019,"1851 S Fairfield Ave, Chicago, IL",1,-87.6940848936555,41.85591505
334,9/28/2019,"1870 S Fairfield Ave, Chicago, IL",2,-87.69445616799604,41.85611372610044
335,9/3/2019,"1893 W 34Th St, Chicago, IL",4,-87.67262528365654,41.83216513230054
336,4/30/2016,"1812 W Cuyler Ave, Chicago, IL",2,-87.67527644379942,41.95522871042344
337,7/26/2021,"1829 W Estes Ave, Chicago, IL",2,-87.67709213149868,42.01114455
338,8/27/2016,"1888 W Wellington Ave, Chicago, IL",3,-87.6755141567257,41.93604282920298
340,1/14/2017,"1935 N Dayton St, Chicago, IL",3,-87.64943590874317,41.917047999999994
341,4/22/2017,"1928 N Dayton St, Chicago, IL",1,-87.6497849113191,41.91667715558882
342,12/22/2018,"1958 N Dayton St, Chicago, IL",1,-87.64980432453709,41.91725910065796
344,9/16/2019,"1971 N Humboldt Blvd, Chicago, IL",2,-87.70253020750906,41.91687844355893
345,11/24/2021,"1961 N Lincoln Ave, Chicago, IL",2,-87.63789383010382,41.9179727
346,12/9/2021,"1948 N Oakley Ave, Chicago, IL",3,-87.68505453208019,41.91714723492632
348,3/19/2022,"1970 S Loomis St, Chicago, IL",2,-87.66136236678383,41.855463583115494
349,12/13/2016,"1931 W 115Th St, Chicago, IL",2,-87.66943106976744,41.68458944186047
351,1/27/2020,"1974 W Addison St, Chicago, IL",2,-87.67826215384615,41.94694984615385
352,8/17/2018,"1961 W Bradley Pl, Chicago, IL",4,-87.6782176,41.949521520000005
353,8/18/2021,"1975 W Bradley Pl, Chicago, IL",2,-87.6782638,41.94952096
356,8/11/2021,"1962 W Estes Ave, Chicago, IL",2,-87.680052,42.0113946923077
357,10/7/2021,"1924 W Evergreen Ave, Chicago, IL",2,-87.67556681972106,41.90645840153513
359,2/8/2022,"1975 W Henderson St, Chicago, IL",2,-87.6777484273473,41.94222851642393
360,8/9/2018,"1924 W Nelson St, Chicago, IL",2,-87.67685489931696,41.93705145
361,3/22/2022,"111 E 117Th St, Chicago, IL",2,-87.61973634693878,41.68148591836735
362,3/19/2022,"186 N Leamington Ave, Chicago, IL",2,-87.75408773210982,41.883991221839764
