"","Date.Sampled","Address","RD_X1X2","RD_X2X3","RD_X3X4","RD_X4X5","RD_X5X6","RD_X6X7","RD_X7X8","RD_X8X9","RD_X9X10"
"1","9/4/2019","100XX S Bell Ave",-0.268987341772152,0.0822510822510822,3,0.16,-0.597413793103448,-0.271948608137045,4.61764705882353,-0.136125654450262,-0.826060606060606
"2","7/16/2016","100XX S Calhoun Ave",-0.609271523178808,1.89830508474576,2.68421052631579,-0.317460317460317,-0.941860465116279,39.6,-0.389162561576355,-0.613709677419355,4.46972860125261
"3","12/17/2019","100XX S Calumet Ave",-0.671891891891892,0.28500823723229,-0.470512820512821,2.97094430992736,-0.814024390243902,0.186885245901639,3.77900552486188,-0.473988439306358,-0.0846153846153846
"4","7/14/2021","100XX S Carpenter St",-0.280172413793103,0.389221556886228,0.0258620689655173,-0.469747899159664,-0.144215530903328,0.244444444444444,0.0714285714285715,1.22222222222222,0.6
"5","12/14/2019","100XX S Carpenter St",0.82,0.0732600732600733,2.61774744027304,1.70754716981132,-0.592334494773519,-0.551282051282051,0.504761904761905,-0.69493670886076,0.41908713692946
"6","12/14/2021","100XX S Lasalle St",-0.785714285714286,11,-0.873333333333333,0.254385964912281,-0.615384615384615,7.18181818181818,0.7,-0.987581699346405,65.8421052631579
"7","9/16/2016","100XX S Washtenaw Ave",0.142061281337047,1.63414634146341,0.564814814814815,-0.384615384615385,-0.0192307692307693,-0.950980392156863,13.88,0.35752688172043,-0.0504950495049505
"8","1/8/2020","101XX S Dr Martin Luther King Jr Dr",1.96887159533074,-0.505897771952818,-0.397877984084881,1.95154185022026,-0.0701492537313432,-0.741573033707865,-0.68944099378882,23.4,0.0737704918032787
"9","10/16/2019","101XX S Eberhart ",46.2,-0.713983050847458,-0.32,2.02832244008715,-0.237410071942446,0.89622641509434,0.0348258706467661,-0.964375,3.58839406207827
"10","3/23/2022","101XX S Lasalle St",6.08661417322835,-0.586666666666667,7.79032258064516,-0.752293577981651,-0.1,0.0946502057613169,0.278195488721804,-0.190196078431373,-0.838983050847458
"11","6/18/2021","101XX S Peoria St",80.6971713810316,-0.983503054989817,3.14814814814815,-0.829761904761905,-0.0384615384615384,-0.203636363636364,-0.187214611872146,3.21348314606742,0.0466666666666666
"12","11/19/2019","101XX S Perry ",0.655172413793103,1.55208333333333,-0.392517006802721,-0.210526315789474,1.36879432624113,-0.305389221556886,0.732758620689655,0.0845771144278607,-0.793119266055046
"13","12/10/2016","101XX S Seeley Ave",2.05454545454545,-0.315476190476191,-0.789565217391304,1.74793388429752,0.804511278195489,-0.7025,-0.434173669467787,2.86138613861386,-0.619230769230769
